,Unnamed: 0,location,tiplabel,Family,Subfamily,n,range,alt_max,alt_mid,alt_min,dry_weight,body_length,wing_length,CTmax,CTmin,CTrange,range_1,range(%),alt_max(%),alt_min(%),Tmax,Tmin,Tmean,DTR
87,20,SJ,Noctuidae_Pantheinae,Noctuidae,Pantheinae,6,992,2856,2360.0,1864,0.0632,16.03333333,20.92833333,47.7,-1.4,49.1,992.000001,0.3013365735115431,0.6878612716763006,0.4489402697495183,22.99930093,13.56389437,17.20253716,9.435406557
88,21,SJ,Uraniidae_Epipleminae,Uraniidae,Epipleminae,10,1311,3175,2729.0,1864,0.00518,7.545,12.591,45.5,-5.4,50.9,1311.000001,0.3982381530984204,0.7646917148362236,0.4489402697495183,20.91664896,10.93599531,14.94862013,9.980653656
89,22,SJ,Notodontidae_Notodontinae,Notodontidae,Notodontinae,33,2430,3290,2856.0,860,0.114618182,16.48625,22.14129032,46.9,-4.0,50.9,2430.000001,0.7381530984204131,0.7923892100192679,0.2071290944123314,20.24983944,10.11131849,14.08705809,10.13852095
90,23,SJ,Notodontidae_Pygaerinae,Notodontidae,Pygaerinae,32,1715,3579,2856.0,1864,0.027529032,11.1525,14.301875,48.2,-3.2,51.4,1715.000001,0.5209599027946537,0.8619942196531792,0.4489402697495183,20.24983944,10.11131849,14.08705809,10.13852095
91,24,SJ,Drepanidae_Thyatirinae,Drepanidae,Thyatirinae,136,1715,3579,2856.0,1864,0.04028806,14.64051471,19.18014815,48.4,-7.5,55.9,1715.000001,0.5209599027946537,0.8619942196531792,0.4489402697495183,20.24983944,10.11131849,14.08705809,10.13852095
92,25,SJ,Geometridae_Larentiinae,Geometridae,Larentiinae,204,2940,3800,3015.5,860,0.012176617,11.17058824,17.4055665,48.6,-6.8,55.4,2940.000001,0.8930741190765492,0.9152215799614644,0.2071290944123314,20.16668059,9.856572289,13.83994311,10.3101083
93,26,SJ,Cossidae_Cossinae,Cossidae,Cossinae,15,1426,3290,3175.0,1864,0.131573333,18.35714286,18.84916667,46.9,-5.8,52.7,1426.000001,0.4331713244228432,0.7923892100192679,0.4489402697495183,19.60782448,9.559745572,13.39925379,10.0480789
94,27,SJ,Noctuidae_Plusiinae,Noctuidae,Plusiinae,24,2719,3579,3175.0,860,0.047745455,15.11708333,16.04083333,46.2,-4.6,50.8,2719.000001,0.8259416767922235,0.8619942196531792,0.2071290944123314,19.60782448,9.559745572,13.39925379,10.0480789
95,28,SJ,Noctuidae_Psaphidinae,Noctuidae,Psaphidinae,53,1936,3800,3290.0,1864,0.033728302,12.80886792,16.78037736,47.3,-5.5,52.8,1936.000001,0.5880923450789793,0.9152215799614644,0.4489402697495183,18.75305596,9.484132146,13.05142488,9.268923812
96,29,SJ,Noctuidae_Noctuinae,Noctuidae,Noctuinae,339,3292,4152,3579.0,860,0.055905621,15.06884273,17.77502976,49.1,-6.5,55.6,3292.000001,1.0,1.0,0.2071290944123314,16.60498551,9.294112319,12.17731571,7.310873188
